district_id,location,direction
1,Hl.m. Praha,Prague
2,Benesov,central Bohemia
3,Beroun,central Bohemia
4,Kladno,central Bohemia
5,Kolin,central Bohemia
6,Kutna Hora,central Bohemia
7,Melnik,central Bohemia
8,Mlada Boleslav,central Bohemia
9,Nymburk,central Bohemia
10,Praha - vychod,central Bohemia
11,Praha - zapad,central Bohemia
12,Pribram,central Bohemia
13,Rakovnik,central Bohemia
14,Ceske Budejovice,south Bohemia
15,Cesky Krumlov,south Bohemia
16,Jindrichuv Hradec,south Bohemia
17,Pelhrimov,south Bohemia
18,Pisek,south Bohemia
19,Prachatice,south Bohemia
20,Strakonice,south Bohemia
21,Tabor,south Bohemia
22,Domazlice,west Bohemia
23,Cheb,west Bohemia
24,Karlovy Vary,west Bohemia
25,Klatovy,west Bohemia
26,Plzen - mesto,west Bohemia
27,Plzen - jih,west Bohemia
28,Plzen - sever,west Bohemia
29,Rokycany,west Bohemia
30,Sokolov,west Bohemia
31,Tachov,west Bohemia
32,Ceska Lipa,north Bohemia
33,Decin,north Bohemia
34,Chomutov,north Bohemia
35,Jablonec n. Nisou,north Bohemia
36,Liberec,north Bohemia
37,Litomerice,north Bohemia
38,Louny,north Bohemia
39,Most,north Bohemia
40,Teplice,north Bohemia
41,Usti nad Labem,north Bohemia
42,Havlickuv Brod,east Bohemia
43,Hradec Kralove,east Bohemia
44,Chrudim,east Bohemia
45,Jicin,east Bohemia
46,Nachod,east Bohemia
47,Pardubice,east Bohemia
48,Rychnov nad Kneznou,east Bohemia
49,Semily,east Bohemia
50,Svitavy,east Bohemia
51,Trutnov,east Bohemia
52,Usti nad Orlici,east Bohemia
53,Blansko,south Moravia
54,Brno - mesto,south Moravia
55,Brno - venkov,south Moravia
56,Breclav,south Moravia
57,Hodonin,south Moravia
58,Jihlava,south Moravia
59,Kromeriz,south Moravia
60,Prostejov,south Moravia
61,Trebic,south Moravia
62,Uherske Hradiste,south Moravia
63,Vyskov,south Moravia
64,Zlin,south Moravia
65,Znojmo,south Moravia
66,Zdar nad Sazavou,south Moravia
67,Bruntal,north Moravia
68,Frydek - Mistek,north Moravia
69,Jesenik,north Moravia
70,Karvina,north Moravia
71,Novy Jicin,north Moravia
72,Olomouc,north Moravia
73,Opava,north Moravia
74,Ostrava - mesto,north Moravia
75,Prerov,north Moravia
76,Sumperk,north Moravia
77,Vsetin,north Moravia